TOTAL,MALE,FEMALE,CHILDREN,MONTH,CODE,YEAR
26,21,1,1,AUG,4,2019
338,61,25,9,JUL,4,2019
230,67,32,16,JUN,4,2019
230,80,22,19,MAY,3,2019
167,54,5,4,APR,3,2019
149,33,24,12,MAR,3,2019
106,33,11,4,FEB,2,2019
343,35,17,15,JAN,2,2019
179,58,12,9,DEC,2,2018
264,133,27,16,NOV,1,2018
396,111,63,51,OCT,1,2018
412,116,68,45,SEP,1,2018
361,141,58,32,AUG,4,2018
442,208,81,44,JUL,4,2018
928,264,102,38,JUN,4,2018
239,110,40,27,MAY,3,2018
339,131,36,21,APR,3,2018
272,147,69,39,MAR,3,2018
391,178,39,41,FEB,2,2018
511,118,60,34,JAN,2,2018
346,161,31,22,DEC,2,2017
500,149,75,25,NOV,1,2017
557,138,42,38,OCT,1,2017
607,186,74,69,SEP,1,2017
423,248,89,51,AUG,4,2017
388,122,24,21,JUL,4,2017
834,136,37,8,JUN,4,2017
820,97,89,39,MAY,3,2017
382,116,34,10,APR,3,2017
453,45,13,9,MAR,3,2017
407,131,10,10,FEB,2,2017
562,85,28,6,JAN,2,2017
701,40,24,17,DEC,2,2016
945,172,21,13,NOV,1,2016
750,151,22,28,OCT,1,2016
534,79,19,8,SEP,1,2016
244,60,20,10,AUG,4,2016
459,85,28,8,JUL,4,2016
637,66,30,24,JUN,4,2016
1379,40,20,45,MAY,3,2016
745,35,75,4,APR,3,2016
575,41,8,23,MAR,3,2016
506,34,8,17,FEB,2,2016
595,87,71,71,JAN,2,2016
705,71,34,81,DEC,2,2015
242,49,13,34,NOV,1,2015
704,81,48,96,OCT,1,2015
453,60,39,59,SEP,1,2015
883,219,43,11,AUG,4,2015
297,45,7,4,JUL,4,2015
181,40,7,0,JUN,4,2015
346,64,5,2,MAY,3,2015
1583,68,13,1,APR,3,2015
563,24,1,1,MAR,3,2015
418,38,3,1,FEB,2,2015
209,38,3,1,JAN,2,2015
918,30,5,254,DEC,2,2014
96,4,4,12,NOV,1,2014
209,15,1,1,OCT,1,2014
1004,8,0,4,SEP,1,2014
794,36,11,8,AUG,4,2014
902,9,3,5,JUL,4,2014
402,65,3,1,JUN,4,2014
459,11,12,5,MAY,3,2014
98,5,2,1,APR,3,2014
320,7,4,5,MAR,3,2014
58,6,0,0,FEB,2,2014
27,6,9,4,JAN,2,2014